Название вакансии,Описание вакансии,Заработная плата,Дата публикации,Название региона,Работодатель,Ключевые навыки,Опыт работы,График работы
Financial Data Analyst (Reconciliation process),"About the job Our company is growing rapidly and is looking to fill the role of Financial Data Analyst. If you are looking for an exciting place to work, please take a look at the list of qualifications below. If you don’t fill all of the qualifications, you may still be considered depending on your level of experience. About Payler Payler is a London-based global FinTech business, Eastern European roots, with over 10yrs track record in payments processing. We offer a unified platform for all financial operations of a company: multicurrency accounts, local &amp; international payments, payments acceptance, corporate cards, FX and much more. We empower passionate problem-solvers to collaborate, innovate and do their best work. We’re building a diverse and inclusive global team — that’s how we create even better experiences for our merchants and partners. And we need your help. So, join us to build tomorrow, today! We are remote-first, you can be based anywhere.  knowledge and abilities  you have strong written and verbal English (C1) and Russian skills to efficiently and effectively communicate with teams you demonstrate full competency with Excel you have basic knowledge of SQL (as a plus) you have strong analytical skills you are results-oriented you are good-natured, and a generally positive person  Ability to  work with large data arrays - Big Data analytics, extract insights and draw conclusions from Data build processes (ex. reconciliation process) from scratch   Experience  worked as a Data Analyst in Banking OR FinTech (is a must) worked in payment startups (is a plus) worked in finance departments (is a plus)  What you will be doing  build reconciliation process from scratch, coordinate with product and tech team to develop internal systems and controls reconcile various payment flows across businesses, collate payment information from multiple sources identify data discrepancies &amp; resolve them, communicate with Acquirer and Merchant representatives reconcile balances due from/to Acquirers and Merchants calculate Payler’s fee for providing payment services, check your calculations with Acquirer&#39;s calculations, deal with discrepancies prepare and issue Reconciliation Acts and Invoices to Acquirers and Merchants, ensure the balances due are paid on time  The benefits of being with Payler  100 % remote from any country in the world a multinational fast-growing and scalable FinTech startup in full growth in Europe that is always forward-thinking the opportunity to fully immerse yourself in the world of FinTech - excellent internal progression opportunities an experienced team composed of diverse and above all nice profiles ",200000,2024-01-21 00:00:00 +0700 +07,Москва,Payler,Microsoft Excel,1-3,Удаленная работа
Аналитик BI,"Приглашаем в команду Отдела цифровизации BI-аналитика! Мы ищем активного и открытого специалиста со знанием SQL и Power BI для реализации data-driven концепции управления бизнесом. Мы предлагаем стабильную занятость с &quot;белой&quot; заработной платой, большие возможности для профессионального роста и развития, а также работу в команде профессионалов своего дела! Какие задачи у Аналитика BI?  Участие в проекте построения корпоративного хранилища данных и BI-системы на платформе Microsoft; Связь данных из разных источников, трансформация, подготовка, агрегация данных для анализа; Разработка дашбордов Power BI; Анализ и визуализация данных, выявление закономерностей, исследование динамики, подготовка выводов и рекомендаций; Построение сегментации и прогнозирование; Участие в проектах по развитию информационно-аналитической системы компании; Консультирование пользователей по работе с отчетами.  Прежде всего мы ценим:  Высшее образование по направлениям информационных технологий, статистики или математики; Опыт работы BI-аналитиком от 1 года; Знание и опыт работы с Power BI+DAX, любых SQL БД; Будет большим преимуществом знание ЯндексМетрики\GoogleAnalytics, Python, MS Reporting Services, MS Analysis Services.  Ваши цели:   Охватить отчетностью все подразделения компании; Реализовать data-driven концепцию управления бизнесом.  Вы нам не подходите, если:  Вы не сможете написать SQL запрос из трех таблиц с группировкой и фильтрацией; Вы не любите людей.  Мы предлагаем:  Работу в офисе на ст. м. Старая деревня, в 5 минутах ходьбы от метро; График работы 5/2 с 9.00 до 18.00, есть возможность один-два дня в неделю работать удаленно после испытательного срока; Оформление по ТК РФ и полностью белую заработную плату; Возможность профессионального развития и карьерного роста, 100% оплата обучения для повышения квалификации; ДМС со стоматологией сразу после успешного прохождения испытательного срока; Доступ к корпоративной библиотеке Alpina Digital, сервису РБК PRO+; Компенсацию мобильной связи; Новогодние подарки для детей сотрудников; Корпоративные и общегородские спортивные мероприятия (Петровский гребной марафон, ЗаБег.РФ, Футбол, Пляжный волейбол и др.). ",0,2024-01-18 00:00:00 +0700 +07,Санкт-Петербург,Главстрой Санкт-Петербург,DAX;Microsoft Power BI;Microsoft SQL Server;Python,1-3,Полный день
Специалист по работе с БД,"Департамент информационных технологий Правительства Москвы — команда профессионалов, которая каждый день делает жизнь москвичей удобнее и безопаснее. Совместно с Департаментом здравоохранения Москвы мы реализуем масштабный ИТ-проект ЕМИАС. Его цель – повышение качества и доступности медицинской помощи в государственных учреждениях здравоохранения. Сейчас команда проекта активно растёт, поэтому мы в поисках Специалиста по работе с БД Обязанности:  Создание учетных/отчетных форм и мониторингов для стационарных медицинских организаций Участие в автоматизации получения данных из стационарных медицинских организаций в контуре Участие в проектировании архитектуры и оптимизации производительности СУБД Участие в моделировании форм документов EHR  Требования:  Понимание основных этапов и процессов командной разработки Опыт работы с системой КИС ЕМИАС будет являться преимуществом Понимание формата архитектурной, проектной и технической документации Опыт администрирования СУБД PostgreSQL Опыт работы с продуктом FastReport Знание языков PascalScript, Delphi, plpgsql, AQL Знание любого языка программирования, в объеме достаточным для автоматизации обработки данных СУБД  Условия:  Конкурентная заработная плата, обсуждается по результатам собеседования; Оформление по ТК РФ, график работы 5/2; Развитая корпоративная культура, мероприятия и приятные бонусы для сотрудников. ",0,2024-01-18 00:00:00 +0700 +07,Москва,ГКУ Инфогород,Pascal/Delphi;PostgreSQL;Управление базами данных,1-3,Полный день
"Аналитик WEB, BI","Обязанности:   Консолидирование данных с помощью python/power query/power pivot и анализ отчетности;   Проведение анализа, описание, тестирование и настройка бизнес-процессов;   Выстраивание долгосрочных прогнозов продаж;   Выявление точек роста продукта;   Взаимодействие с руководителями подразделений, формирование отчетов и заполнение таблиц данными;   Создание дашбордов в PowerBI/Excel (PowerPivot)   Интеграция дашбордов в Yandex Data Lens с Битрикс24;   Поддержка Битрикс24, постановка задач по развитию системы   Требования:   Высшее экономическое/финансовое образование, Высшее юридическое образование;   Высокий уровень финансовой и правовой грамотности;   Гибкое и креативное мышление;   Инициативность, ориентированность на результат;   Карьера и постоянное обучение – это жизненный приоритет.   Условия:  Оформление по договору ГПХ/самозанятого    Уважаемые соискатели! Убедительная просьба в сопроводительном письме указывать свои зарплатные ожидания. Департамент организационного развития Роскачества благодарит Вас за внимание к нашим вакансиям! Все резюме, соответствующие квалификационным требованиям, будут рассмотрены в срок до 3-х дней. В случае соответствия Ваших анкетных данных нашим ожиданиям, мы свяжемся с Вами. Если Вы получили отказ по одной из интересующих Вас вакансий нашей организации – не отчаивайтесь! Следите за нашими вакансиями и смело делайте отклик.",0,2024-01-18 00:00:00 +0700 +07,Москва,Роскачество,Аналитическое мышление;Разработка BI;Веб-аналитика,1-3,Удаленная работа
Ведущий специалист по работе с базами данных,"Обязанности:  управление проектом по внедрению Power BI; разработка витрин и моделей данных; разработка отчетов и визуализаций; проведение аналитических исследований, генерация и проверка гипотез; презентация подготовленных отчетов.  Требования:  опыт работы с OLAP кубами; навык разработки отчетов и визуализации; опыт в анализе данных, продуктовой или маркетинговой аналитике; опыт работы и внедрения Power BI.  Условия:  офис в центре Москвы; работа в крупном развивающемся Холдинге с перспективами профессионального развития; официальное оформление с первого дня; график работы 5/2. ",170000,2024-03-05 00:00:00 +0700 +07,Москва,"ЭФКО, Управляющая компания",,3-6,Полный день
Аналитик в Яндекс Недвижимость,"Ищем человека, который поможет нам с аналитикой сейлз-маркетинга Недвижимости и автоматизацией отчётности. Приходите, если уже работали аналитиком в сфере коммерции, отлично владеете SQL и Excel, знаете математику и матстат.Какие задачи вас ждут:  Анализ сейлз-маркетинга Недвижимости: сбор, структурирование и визуализация данных, участие в подготовке презентаций Продумывание и подсчёт новых метрик по сервису, клиентам и рынку Автоматизация отчётности для регулярных запросов, которая позволит нашим коллегам из коммерческой службы самостоятельно получать данные по типовым запросам Подготовка performance-аналитики по оценке эффективности размещений и продажам для клиентов – агентств недвижимости и риелторов Подготовка исследований рынка, аналитических релизов и комментариев для PR-службы Оценка эффективности новых услуг и фич Формирование аналитики по специфичным запросам, работа с хранилищем данных  Мы ждем, что вы:  Работали аналитиком в сфере коммерции не менее двух лет Окончили вуз по математической, технической или экономической специальности Уверенно владеете SQL Отлично знаете Excel Работали с BI-системами (у нас DataLens) Знаете математику и основы статистики, аналитически мыслите Умеете коммуницировать с коллегами и работать в команде Не боитесь отвечать за крупные задачи без чёткого ТЗ Готовы осваивать новые технологии и доменные областиБудет плюсом, если вы: Имеете представление о рынке недвижимости Понимаете, как работает A/B-тестирование Владеете Python Слышали о ETL-процессах  Условия:  Работу в сильной команде, с которой можно расти Возможность влиять на процесс и результат Расширенную программу ДМС, оплату 80% стоимости ДМС для супругов и детей Компенсацию оплаты питания (завтраки, обеды и ужины в ресторанах вблизи офиса) Гибкий график работы Доплату больничного до оклада Корпоративную жилищную программу ",0,2024-01-23 00:00:00 +0700 +07,Москва,Яндекс,Разработка BI;SQL;Статистическая обработка данных,3-6,Полный день
Аналитик в Яндекс Недвижимость,"Ищем человека, который поможет нам с аналитикой сейлз-маркетинга Недвижимости и автоматизацией отчётности. Приходите, если уже работали аналитиком в сфере коммерции, отлично владеете SQL и Excel, знаете математику и матстат.Какие задачи вас ждут:  Анализ сейлз-маркетинга Недвижимости: сбор, структурирование и визуализация данных, участие в подготовке презентаций Продумывание и подсчёт новых метрик по сервису, клиентам и рынку Автоматизация отчётности для регулярных запросов, которая позволит нашим коллегам из коммерческой службы самостоятельно получать данные по типовым запросам Подготовка performance-аналитики по оценке эффективности размещений и продажам для клиентов – агентств недвижимости и риелторов Подготовка исследований рынка, аналитических релизов и комментариев для PR-службы Оценка эффективности новых услуг и фич Формирование аналитики по специфичным запросам, работа с хранилищем данных  Мы ждем, что вы:  Работали аналитиком в сфере коммерции не менее двух лет Окончили вуз по математической, технической или экономической специальности Уверенно владеете SQL Отлично знаете Excel Работали с BI-системами (у нас DataLens) Знаете математику и основы статистики, аналитически мыслите Умеете коммуницировать с коллегами и работать в команде Не боитесь отвечать за крупные задачи без чёткого ТЗ Готовы осваивать новые технологии и доменные областиБудет плюсом, если вы: Имеете представление о рынке недвижимости Понимаете, как работает A/B-тестирование Владеете Python Слышали о ETL-процессах  Условия:  Работу в сильной команде, с которой можно расти Возможность влиять на процесс и результат Расширенную программу ДМС, оплату 80% стоимости ДМС для супругов и детей Компенсацию оплаты питания (завтраки, обеды и ужины в ресторанах вблизи офиса) Гибкий график работы Доплату больничного до оклада Корпоративную жилищную программу ",0,2024-01-23 00:00:00 +0700 +07,Санкт-Петербург,Яндекс,Разработка BI;SQL;Статистическая обработка данных,3-6,Полный день
Аналитик HR,"Обязанности:  Определение необходимых HR показателей и ключевых показателей эффективности; Определение источников данных для расчета показателей, определение методологии расчета; Обеспечение ГК статистической и аналитической информацией по HR показателям (информационные отчеты, дашборды); Построение прогнозных моделей; Автоматизация процесса сбора и хранения данных; Профессиональная трактовка данных для подготовки выводов; Фильтрация ненужной информации; Активное участие в автоматизации HR аналитики всего департамента по управлению персоналом.  Требования:  Хорошее знание 1С ЗУП 8.3, BI системы; Excel продвинутый уровень; Опыт автоматизации аналитики.  Условия:  Работа в крупной стабильной Российской компании - 35 лет на рынке! Официальное оформление по ТК РФ, 100 % «белую» заработную плату, социальный пакет; Заработная плата обсуждается с успешным кандидатом по итогам собеседования; График работы: 5/2 ; Корпоративную мобильная связь; Социальные льготы: оплачиваемые выходные по семейным обстоятельствам; Корпоративная скидка в фитнес-клубы; Скидки на продукцию компании в фирменных магазинах; Реферальная программа &quot;Приведи друга&quot;: пригласи друга-получи бонус! Премии на день рождения компании при сроке работы от 1-го года; Новогодние подарки детям на Новый Год; Работа в г. Зеленоград; Командировки в регионы присутствия; Участие в корпоративных праздниках и конкурсах.   ",0,2024-03-11 00:00:00 +0700 +07,Москва,Агропромкомплектация,,3-6,Полный день
Руководитель проектов по построению аналитической клиентской базы и воронки цифровых продаж,"Чем предстоит заниматься:  Отвечать за построение, актуализацию, методологию, вывод в цифровые каналы информации в рамках программы развития Цифровых продаж клиентам сегмента; Анализировать рынок действующих и потенциальных клиентов сегмента в различных срезах; Осуществлять сегментацию и когортный анализ клиентов для определения стратегий работы; Вносить предложения по развитию модели продаж, метрик проектов, моделей поиска и сборке юридических лиц в группы компаний, холдинги; Формулировать выводы и Собирать и оцифровывать потенциал клиентов сегмента по продуктам для формирования продуктовых предложений в цифровых и оффлайн каналах; Проектировать воронки конверсии и искать точки роста, формировать требования и управлять реализацией продвинутой аналитики данных по цифровым продажам; Формировать бизнес-требования для автоматизации аналитических данных, отчетов и метрик по направлениям (в т.ч. аналитической BI-отчетности, витрин данных по воронке продаж, базе действующих и потенциальных клиентов, профилю клиентов); Организовывать сбор данных для построения регулярной отчетности/дашбордов по клиентской активности; Организовывать работы смежных продуктовых подразделений для сбора бизнес-требований, а также инфраструктурных (BI, MDM, CRM) для автоматизации и вывода в цифровые каналы; Совершенствовать методологию расчета потенциала по продуктам банка для клиентов сегмента в целях повышения эффективности продаж, формирование и тестирование гипотез.  Наши пожелания к кандидатам:    Высшее образование; Опыт проектной работы от 3х лет; Опыт работы в продуктовой/маркетинговой аналитике от 2х лет; Опыт руководства проектами по построению автоматизированной отчетности: от сбора, хранения, подготовки данных до построения отчетов/дашбордов и проведения анализа данных; Опыт анализа больших массивов данных; Знание и практический опыт решения основных задач продуктовой и маркетинговой аналитики, в т.ч. знание каналов онлайн-продаж и их ключевых различий; Знание источников данных (внутрибанковских и внешних) по юр. лицам, умение интерпретировать доступные данные по юр. лицам; Прикладные навыки продуктовой аналитики в банковской сфере (как преимущество); Опыт работы с BI-инструментами (как преимущество).  Что мы предлагаем:  Стабильный и прозрачный доход (оклад и бонусы) – учтем Ваши пожелания и обсудим на собеседовании; Комфортный офис со спортзалом в центре Москвы; Заботу о Вашем здоровье: программа ДМС со стоматологией в лучших клиниках Москвы, скидки на абонементы в фитнес-клубы; Чувство локтя: у нас дружелюбная атмосфера и команда лучших профессионалов, которые готовы делиться экспертизой; Среда для твоего неизбежного развития: тебя ждут сложные и интересные задачи с использованием большого массива данных, у нас регулярно проходят тренинги, вебинары, у тебя будет доступ к бесплатным корпоративным библиотекам Альпины и бизнес-изданий, скидки на курсы иностранных языков. ",0,2024-02-26 00:00:00 +0700 +07,Москва,Альфа-Банк,,3-6,Полный день
Аналитик данных (BI)/Системный аналитик,"SOKOLOV – частный ювелирный холдинг с 30-летней историей, объединяющий крупнейший в Европе производственный комплекс, входящую в топ-3 лидеров рынка федеральную розничную сеть, интернет-магазин, развитую оптовую дистрибуцию и пул франчайзи. Бренд SOKOLOV представлен в России, СНГ и Китае.Сейчас наша IT-команда &quot;Аналитические проекты&quot; в поисках Аналитика данных. Нам нужен коллега, способный помочь команде вывести отчетность на новый уровень! ПРИОРИТЕТНЫЕ ЗАДАЧИ СЕЙЧАС:  Разработка/доработка OLAP кубов и подготовка для них витрин данных (стык SSAS и GreenPlum); Интеграция OLAP-кубов с СУБД Greenplum; Доработка и оптимизация существующей отчетности; Участие во внедрении новых BI решений; Работа с заказчиками из смежных подразделений.  МЫ ОБЕСПЕЧИМ ВСЕ НЕОБХОДИМЫЕ УСЛОВИЯ ДЛЯ РАБОТЫ:  Трудоустройство в аккредитованную ИТ-компанию (льготная ипотека, отсрочка и т.д.); Предоставляем для работы корпоративный ноутбук и дополнительные комплектующие при необходимости; Удаленный формат работы. Если хочется общения с коллегами – организуем коворкинг в твоем городе (в Москве, Самаре, Ярославле, Костроме площадки уже есть); Расскажем как, и поможем прокачаться в части hard- и soft-skills; Достойный уровень заработной платы с возможностью ее регулярного пересмотра.  ТЫ НАШ ИДЕАЛЬНЫЙ КАНДИДАТ, ЕСЛИ У ТЕБЯ ЕСТЬ:  Уверенные знания SQL; Опыт работы с Power BI и опыт его администрирования; Опыт разработки OLAP кубов, понимание DAX; Опыт работы с API; Понимание особенностей микросервисной архитектуры; Опыт проектирования микросервисов с нуля (интеграции, БД, логика работы); Знания реляционных баз данных; Знание Python для работы с данными; Опыт работы с GreenPlum (если нет, то научим); Готовность первые две рабочие недели провести в офисе с командой, в нашем Центре разработки (г. Кострома). Проезд, проживание, командировочные оплачиваются.   ",0,2024-02-05 00:00:00 +0700 +07,Санкт-Петербург,SOKOLOV,Разработка BI;DAX;SQL;Microsoft SQL Server;Управление базами данных,1-3,Удаленная работа
Менеджер ML Продукта (Проекта) - Цифровизация Ценообразования,"Наш клиент, крупнейшая промышленная компания, в поисках кандидат на роли Лидера продукта цифрового ценообразования (на основе AI). В задачи сотрудника на данной позиции будет входить:   Создание и развитие цифровых продуктов, в первую очередь, моделей ценообразования Сбор, анализ требований и проведение интервью с представителями функции для подготовки функционального требования к разработке цифрового решения ​​​​​​ Взаимодействие с ИТ командой для удовлетворения бизнес-целей разрабатываемого цифрового решения Сбор, анализ и обработка данных для моделей Организация работы кросс-функциональных команд для реализации проектов в установленные сроки  Вы отличный кандидат на эту роль если:   У вас есть опыт работы с решениями на основе машинного обучения (AI), плюсом будет опыт работы с моделями ценнообразования в качестве менеджера продукта/проекта. Был опыт самостоятельно разработки моделей машинного обучения (как плюс) Большим плюсом будет опыт в B2B промышленного сектора Важно умение работать в команде и реализовывать проекты в короткие сроки, расставлять приоритеты в ситуации многозадачности Проактивность, ответственность и ориентация на результат – как дополнительные преимущества  Компания со своей стороный предлагает:  ​​​Амбициозные и масштабные задачи Гибридный формат работы ДМС и другие льготы ",0,2024-02-05 00:00:00 +0700 +07,Москва,ГЕТ ЭКСПЕРТС РЕКРУТМЕНТ,Управление продуктом;Анализ ценообразования,3-6,Полный день
Администратор баз данных DBA (PostgreSQL),"ПРИГЛАШАЕМ В КОМАНДУ Администратора баз данных DBA (PostgreSQL) на проект по разработке высоконагруженной платформы для беттинга. Мы предпочитаем решать вопросы здесь и сейчас, готовы воплощать самые амбициозные идеи в жизнь. ДАВАЙ ВМЕСТЕ СТАНЕМ ПЕРВЫМИ! Чем тебе предстоит заниматься:  Администрировать кластера PostgreSQL (12 версия, 14-15 на проде). Обеспечивать производительности и отказоустойчивость. Взаимодействовать с разработкой по формированию структур данных (анализ DDL, профилирование тяжелых запросов). Поддерживать непродуктовое окружение (обеспечение механизма миграции данных из одного окружения в другое). Создавать инструменты для автоматизации рутинных задач, связанных с обработкой данных (часть уже имеется). Создавать инструменты для мониторинга и управления производительностью Greenplum/PostgreSQL. Резервное копирование.  Что важно для нас:  Опыт работы с PostgreSQL: на уровне администрирования и анализа запросов. Знания Linux (навыки траблшутинга и выявления узких мест в производительности). Автоматизация рутинных задач (bash, python).  Опыт разработки ETL.   Опыт написания хранимых процедур на PL/PgSQL.   Будет плюсом: опыт настройки обновления базы данных через CDC, проектирования и разработка DWH, GreenPlum: на уровне администрирования.  ",0,2024-02-05 00:00:00 +0700 +07,Москва,АйтиМедиаСервис,Управление данными;ClickHouse;DWH;ETL;PostgreSQL;Администрирование серверов и рабочих станций;PostgreSQL,3-6,Полный день
Data Science,"Чем предстоит заниматься:  разработка, сопровождение и участие во вводе в эксплуатацию скоринговых моделей вероятности дефолта, участвующих в принятии решений, на основе анкетных, транзакционных данных и данных кредитной истории, иных источников информации; разработка, сопровождение и участие во вводе в эксплуатацию моделей на временных рядах, участвующих в предиктивной аналитике спроса/активности, поведенческих моделей клиентов и контрагентов; проведение А/В-тестирования с целью проверки корректности выбранного способа моделирования; осуществление мониторинга качества моделей с целью минимизации модельного риска, риска некорректной работы моделей (для CDS); взаимодействие с командой моделистов Компании и Головной организации с целью выстраивание бэк-лога задач, согласования инструментов и методов моделирования (для CDS); взаимодействие с бизнес-заказчиками по формированию и методам проверки гипотез, используемых в целях разработки моделей; организация работы команды моделистов Компании, постановка задач, менторство и обучение инструментам моделирования (для CDS).  Что нам важно в кандидате:  высшее образование; опыт работы от 3х лет; знание python, jupyter notebook, pandas, numpy, scikit-learn, scipy, statsmodels, базовые знания linux, git; знание и понимание основных методов машинного обучения; знания по теории вероятности и мат. статистике и умение применять их на практике; базовые знания http-протокола и Linux, Git.  От нас все социальные гарантии и ещё:  конкурентный доход (оклад и годовой бонус); интересные задачи и профессиональный рост; программа льготного кредитования в Сбере; дисконт-программы от компаний-партнеров Сбера (санаторно-курортные программы, такси, мобильная связь и многое другое); корпоративные мероприятия в офисе и на выезде; возможность получить бонус, рекомендовав друга на вакансию компании; новогодние подарки для детей; материальная помощь при рождении детей и др. семейным обстоятельствам; пенсионная программа негосударственного пенсионного обеспечения (совместное накопление на пенсию средств сотрудника и работодателя).  Забота о здоровье:  ДМС; скидки по ДМС для родственников; кэшбэк до 30% стоимости вашего фитнес-абонемента; корпоративные тарифы в фитнес-центры; полис выезжающих за рубеж; бесплатная консультация врачей в рамках телемедицины; 3 персональных дня в году для личных целей.  Обучение:  дистанционное обучение на HR-платформе Пульс; бесплатная электронная библиотека более 1000 книг; участие в конференциях.         ",0,2024-02-05 00:00:00 +0700 +07,Москва,СберЛизинг,Администрирование серверов и рабочих станций;Машинное обучение;Python;Анализ данных;Аналитическое мышление;Управление базами данных;Статистическая обработка данных;Информационная грамотность,3-6,Полный день
Технический писатель/Администратор проекта,"Работа в Правительстве Москвы — это возможность делать наш город современнее и удобнее. Если ты тоже неравнодушен к Москве, хочешь развивать ее и развиваться сам, присоединяйся к нашей команде! Обязанности:   Анализ требований к созданию, развитию информационных систем   Расчет начальной (максимальной) цены контракта в соответствии с действующими методиками расчета (НМЦ)   Участие в формировании процессов работы отдела   Участие в проектной деятельности по развитию и внедрению ИС   Взаимодействие с заказчиками, подрядчиками и смежными подразделениями   Участие в тестировании изменений и доработок ИС     Требования:  Опыт работы по специальности технический писатель/аналитик в сфере ИТ или опыт работы с документацией на проектах внедрения сложного ПО Уверенное владение Microsoft office Понимание процесса разработки и внедрения ПО Умение систематизировать и структурировать информацию Грамотная устная и письменная речь  Условия:  Работа в динамично развивающейся организации Правительства Москвы ​​​​​​Высокопрофессиональная команда ​​​​​​Стабильная заработная плата Гибридный формат работы График работы 5/2 с 9.00 до 18.00 ",0,2024-02-05 00:00:00 +0700 +07,Москва,Правительство Москвы,,1-3,Полный день
